order_item_id,order_id,product_id,quantity,item_price
1,239,420,1,3527.67
2,983,179,3,2804.56
3,285,419,5,1237.6
4,1072,391,2,3390.32
5,1454,156,1,4368.23
6,456,66,2,979.13
7,1410,117,2,676.13
8,267,41,1,2981.92
9,160,10,4,1822.18
10,88,101,5,1299.75
11,1215,31,3,2218.55
12,89,34,1,4792.77
13,1546,50,5,652.45
14,421,301,2,2707.57
15,1374,180,2,1187.99
16,1733,383,5,3213.83
17,713,181,5,293.9
18,1600,374,5,27.85
19,1168,35,5,349.38
20,1564,8,2,3198.52
21,1975,145,5,4185.27
22,9,499,2,1685.07
23,1886,259,4,2963.32
24,751,358,4,3931.9
25,1380,491,3,259.78
26,778,218,2,3817.0
27,835,58,3,143.42
28,254,239,2,4461.95
29,1016,391,3,3012.95
30,1142,370,3,1056.25
31,1012,60,4,2991.13
32,1230,377,4,1763.25
33,463,284,4,1197.2
34,387,439,4,1813.89
35,1924,348,1,2648.38
36,1381,252,4,1666.94
37,898,268,1,2705.25
38,245,74,5,2613.56
39,209,380,2,2111.79
40,133,187,3,2049.11
41,411,305,4,3390.72
42,252,120,4,2844.19
43,571,392,5,2529.19
44,1216,140,4,2935.79
45,730,244,4,1390.84
46,993,262,4,2725.02
47,222,63,4,354.76
48,473,322,1,927.02
49,204,378,1,522.86
50,1021,348,2,2463.01
51,784,310,2,1391.67
52,621,319,1,68.28
53,1354,385,4,922.98
54,1624,239,4,4550.61
55,1005,259,3,2636.81
56,1658,441,1,10.51
57,1951,392,4,2198.39
58,1803,469,4,4408.95
59,645,437,4,3193.68
60,74,17,3,3700.89
61,1812,362,4,1457.91
62,276,160,4,3404.02
63,1565,57,4,4015.92
64,1352,284,5,1265.04
65,963,244,2,1362.73
66,1038,29,4,1440.38
67,1211,498,3,2698.94
68,1570,146,1,4601.89
69,1210,24,3,4141.04
70,715,415,1,1520.43
71,1568,457,4,1423.2
72,200,220,3,1002.34
73,844,180,2,1195.12
74,508,121,5,2447.49
75,174,467,3,4466.62
76,235,173,5,823.38
77,668,20,4,1260.37
78,1164,264,3,4124.51
79,42,357,1,2218.14
80,649,194,3,838.49
81,1173,51,1,920.91
82,1415,346,4,4662.19
83,1030,416,3,5188.57
84,342,315,4,2156.88
85,414,255,1,2395.88
86,1722,436,3,804.82
87,544,25,5,4671.39
88,824,412,1,3845.53
89,1470,433,5,635.34
90,690,140,5,2550.95
91,974,219,1,3609.02
92,1335,422,3,1804.52
93,887,340,2,4803.33
94,849,206,5,3654.69
95,929,344,2,1333.91
96,1805,10,5,1771.45
97,1767,96,2,3875.45
98,1354,493,4,4761.56
99,549,480,5,1260.0
100,1747,394,5,2215.32
101,1489,321,2,2610.02
102,747,237,2,3986.3
103,1529,351,4,3408.65
104,841,164,1,1003.03
105,1299,105,3,2144.71
106,1687,147,3,221.4
107,1407,308,2,410.19
108,233,77,2,1587.19
109,1633,424,4,2189.95
110,1147,224,1,3714.31
111,414,82,1,4243.46
112,530,405,5,3904.74
113,361,330,4,2036.69
114,1603,11,1,3350.22
115,643,309,1,3830.03
116,1845,490,3,2437.07
117,1376,337,4,618.14
118,1932,430,2,2861.65
119,484,58,5,138.22
120,1911,62,5,2065.95
121,1945,397,3,4323.99
122,1017,453,5,3948.08
123,251,396,3,891.98
124,1705,300,2,1740.85
125,1916,217,1,893.08
126,359,110,4,5333.77
127,837,131,1,816.66
128,1005,274,1,3215.48
129,649,280,2,737.33
130,1973,143,2,5023.13
131,744,244,3,1404.03
132,44,331,5,1833.58
133,72,431,1,4467.0
134,1415,470,2,3108.63
135,519,283,3,4686.07
136,1850,416,5,5110.07
137,1776,122,4,1778.25
138,17,466,3,5100.28
139,617,47,2,644.99
140,610,108,2,4098.02
141,1876,225,4,2588.21
142,1617,18,1,4456.27
143,1686,400,4,4041.07
144,1510,212,3,2872.32
145,1470,217,1,1017.78
146,1689,83,5,3338.81
147,136,181,5,310.32
148,1511,168,1,2448.98
149,1561,27,2,4120.02
150,1291,228,2,1600.33
151,7,206,3,3615.32
152,643,295,2,825.61
153,512,265,2,2405.37
154,1735,305,3,3290.3
155,925,245,2,217.67
156,534,89,3,5059.84
157,1638,145,4,4209.36
158,753,94,4,2048.98
159,1935,428,2,5212.9
160,43,486,5,1684.8
161,1326,314,1,683.76
162,1996,237,2,4029.63
163,102,206,5,3936.79
164,533,77,3,1552.4
165,349,485,1,2623.34
166,1472,270,4,4158.87
167,1695,345,2,3941.82
168,1462,105,3,1881.76
169,590,383,2,2949.45
170,884,439,2,1868.27
171,1688,145,2,4682.42
172,857,93,2,253.05
173,59,149,2,1176.12
174,1266,231,3,3386.98
175,1194,351,1,3332.07
176,22,241,3,945.79
177,1996,355,2,2503.46
178,1461,197,5,4213.03
179,525,38,1,164.35
180,107,171,4,3904.28
181,1861,182,5,1690.25
182,1454,384,1,630.51
183,520,259,3,2835.05
184,809,344,5,1234.43
185,85,298,2,1403.71
186,1032,253,4,2534.79
187,271,46,5,2406.46
188,887,73,3,600.03
189,91,66,3,913.77
190,1532,185,3,3337.19
191,1849,449,3,330.3
192,1059,161,2,3647.28
193,647,378,2,631.01
194,1139,437,4,3551.61
195,109,97,2,2172.52
196,376,19,2,4916.24
197,1446,240,4,666.21
198,84,227,5,2806.57
199,994,235,2,922.19
200,254,179,3,2677.5
201,370,428,5,4519.66
202,1685,140,5,2827.97
203,435,299,1,3118.08
204,1078,393,4,4887.56
205,1886,40,4,1820.02
206,1387,49,1,3740.37
207,583,349,1,3257.15
208,808,192,1,319.14
209,1715,166,1,503.51
210,943,426,4,3307.97
211,930,322,5,929.2
212,1348,3,1,1707.03
213,1344,319,3,72.65
214,1941,375,5,1534.81
215,265,109,3,3650.88
216,662,409,1,959.71
217,1121,488,1,4119.08
218,817,131,4,712.37
219,183,11,2,3936.39
220,796,400,2,3641.38
221,247,153,4,3185.69
222,1508,413,5,1905.53
223,269,184,3,3301.14
224,1050,103,4,2153.0
225,976,138,4,1797.04
226,185,388,3,2398.18
227,1258,96,4,3766.49
228,191,21,4,1792.86
229,1386,115,2,3674.77
230,1907,254,5,1318.66
231,172,149,1,1067.03
232,1858,411,2,830.35
233,262,351,2,3497.58
234,1072,219,1,3674.72
235,1129,40,5,2077.38
236,221,262,1,2808.28
237,952,339,3,3560.41
238,728,131,5,774.43
239,34,59,4,1936.59
240,368,403,4,2540.11
241,93,43,3,681.19
242,643,301,4,2618.8
243,1278,414,2,2569.47
244,433,95,5,4275.22
245,532,447,4,538.54
246,1095,10,1,1556.58
247,28,88,4,1615.16
248,1417,208,5,4669.5
249,1487,250,5,4392.29
250,739,354,4,59.7
251,1648,155,2,3126.52
252,29,98,1,111.4
253,1426,497,1,4314.6
254,429,247,2,1121.37
255,893,432,5,240.39
256,391,45,4,4611.57
257,304,243,1,3567.67
258,341,463,4,2304.77
259,1974,249,4,4659.39
260,1199,125,5,1073.39
261,1699,427,3,3893.24
262,17,53,4,3641.72
263,852,435,5,4974.21
264,1221,375,3,1410.48
265,76,250,5,4480.89
266,1211,372,4,154.18
267,475,366,1,107.46
268,865,296,1,4630.48
269,549,458,4,2851.36
270,240,254,3,1343.68
271,919,358,2,3813.58
272,590,372,3,141.54
273,898,119,5,2975.19
274,1862,351,5,3132.64
275,1748,432,4,244.57
276,269,453,4,4122.81
277,1966,214,3,3593.57
278,1631,242,2,4490.41
279,1274,107,1,356.09
280,1367,248,2,1406.71
281,321,311,4,3693.8
282,1932,253,2,2242.27
283,1141,25,3,5354.91
