order_id,customer_id,order_date,ship_date,status
1,80,2025-06-29,,Cancelled
2,382,2025-02-09,,Pending
3,515,2024-01-11,,Pending
4,184,2024-04-25,2024-05-02,Processing
5,529,2024-09-03,,Pending
6,977,2023-10-22,2023-10-23,Delivered
7,899,2023-11-22,2023-11-29,Delivered
8,290,2022-04-27,2022-04-30,Shipped
9,89,2025-10-18,,Cancelled
10,468,2024-02-29,,Pending
11,378,2024-04-30,2024-05-03,Processing
12,578,2025-05-12,2025-05-18,Shipped
13,638,2025-04-06,2025-04-10,Processing
14,378,2025-03-19,,Cancelled
15,996,2023-12-14,2023-12-21,Delivered
16,795,2023-06-26,2023-07-02,Processing
17,923,2024-10-05,,Cancelled
18,779,2025-10-13,2025-10-15,Processing
19,7,2022-12-27,2022-12-28,Delivered
20,239,2025-09-06,,Cancelled
21,355,2025-04-16,,Pending
22,974,2023-04-06,2023-04-07,Shipped
23,778,2025-07-23,2025-07-30,Delivered
24,756,2025-02-23,2025-02-24,Shipped
25,211,2025-08-03,,Cancelled
26,244,2024-06-26,2024-06-30,Delivered
27,985,2025-01-29,,Pending
28,996,2024-07-12,2024-07-18,Processing
29,287,2025-08-28,,Pending
30,45,2025-05-20,2025-05-27,Processing
31,533,2024-06-02,2024-06-08,Delivered
32,918,2025-09-29,2025-10-03,Shipped
33,998,2023-09-29,,Pending
34,595,2025-09-04,,Pending
35,518,2025-01-03,2025-01-09,Processing
36,840,2025-10-27,2025-10-28,Delivered
37,607,2024-01-27,,Cancelled
38,64,2025-01-22,2025-01-28,Delivered
39,988,2025-10-23,2025-10-25,Processing
40,299,2025-02-18,2025-02-25,Shipped
41,323,2025-01-16,2025-01-22,Delivered
42,852,2023-10-17,2023-10-20,Shipped
43,464,2023-11-04,2023-11-06,Shipped
44,77,2023-12-15,2023-12-17,Processing
45,799,2025-03-23,,Cancelled
46,112,2024-12-08,2024-12-09,Processing
47,169,2024-07-19,2024-07-23,Delivered
48,322,2024-08-18,2024-08-19,Delivered
49,549,2024-05-25,2024-06-01,Shipped
50,213,2025-09-26,2025-09-29,Delivered
51,475,2025-02-13,2025-02-20,Shipped
52,123,2023-05-09,,Pending
53,162,2025-10-05,2025-10-12,Shipped
54,722,2023-10-21,,Cancelled
55,42,2025-02-27,2025-03-06,Processing
56,878,2025-05-05,2025-05-07,Shipped
57,94,2025-04-19,2025-04-22,Processing
58,406,2022-06-18,,Cancelled
59,51,2024-10-08,2024-10-11,Shipped
60,840,2023-07-06,2023-07-07,Processing
61,975,2025-03-19,2025-03-26,Delivered
62,464,2023-03-02,,Cancelled
63,767,2025-09-16,,Cancelled
64,256,2025-10-22,,Pending
65,474,2023-10-15,,Pending
66,824,2022-11-11,2022-11-12,Processing
67,13,2023-07-03,,Pending
68,851,2024-08-06,2024-08-08,Processing
69,203,2025-06-13,2025-06-16,Delivered
70,703,2024-11-21,,Pending
71,597,2025-06-24,,Cancelled
72,266,2025-01-06,,Pending
73,23,2025-10-13,,Pending
74,203,2025-08-02,2025-08-09,Delivered
75,132,2025-09-15,,Pending
76,927,2025-10-30,2025-10-31,Shipped
77,44,2025-04-02,2025-04-03,Delivered
78,173,2025-07-21,,Cancelled
79,444,2024-12-22,2024-12-26,Delivered
80,31,2024-11-19,2024-11-25,Delivered
81,437,2024-05-18,2024-05-21,Processing
82,220,2023-12-19,2023-12-22,Processing
83,287,2025-07-07,2025-07-09,Delivered
84,36,2023-09-15,,Cancelled
85,635,2024-06-09,,Cancelled
86,252,2025-10-14,2025-10-18,Shipped
87,422,2025-07-13,,Cancelled
88,491,2024-03-06,,Pending
89,90,2025-02-14,2025-02-18,Shipped
90,141,2025-06-25,2025-06-27,Delivered
91,659,2024-07-09,,Cancelled
92,256,2025-10-05,,Cancelled
93,814,2024-05-09,,Pending
94,392,2025-03-11,2025-03-15,Shipped
95,558,2024-10-01,2024-10-04,Delivered
96,935,2023-02-18,,Cancelled
97,515,2024-01-09,2024-01-13,Shipped
98,277,2025-07-05,2025-07-06,Processing
99,327,2025-10-28,,Cancelled
100,225,2024-09-20,,Pending
101,918,2025-10-25,2025-10-26,Shipped
102,829,2025-10-19,2025-10-24,Delivered
103,367,2025-03-28,,Cancelled
104,239,2024-12-16,2024-12-17,Processing
105,254,2025-06-02,2025-06-05,Processing
106,547,2025-03-17,,Pending
107,783,2025-10-09,2025-10-14,Processing
108,867,2024-04-20,2024-04-23,Delivered
109,958,2024-07-22,2024-07-24,Processing
110,243,2025-08-17,,Cancelled
111,326,2024-09-16,2024-09-21,Shipped
112,29,2024-05-17,2024-05-22,Shipped
113,578,2025-05-26,2025-05-31,Processing
114,972,2025-10-24,2025-10-31,Processing
115,830,2025-06-29,2025-07-04,Delivered
116,317,2025-10-06,2025-10-10,Processing
117,39,2024-07-15,,Pending
118,58,2025-07-15,2025-07-20,Processing
119,225,2025-10-26,,Pending
120,540,2024-12-23,2024-12-24,Delivered
121,340,2024-01-23,,Cancelled
122,207,2024-07-30,2024-08-02,Processing
123,735,2023-08-08,2023-08-15,Processing
124,865,2024-12-15,2024-12-16,Shipped
125,23,2022-09-28,2022-10-03,Processing
126,722,2024-03-10,2024-03-17,Processing
127,114,2025-09-11,,Cancelled
128,882,2024-03-25,2024-03-26,Shipped
129,383,2023-06-24,2023-06-29,Delivered
130,104,2025-04-15,2025-04-18,Shipped
131,331,2025-09-05,2025-09-07,Processing
132,750,2025-05-03,2025-05-10,Delivered
133,655,2025-09-29,2025-10-05,Delivered
134,325,2025-10-01,2025-10-07,Processing
135,992,2025-07-08,,Cancelled
136,711,2023-03-11,,Cancelled
137,806,2025-03-02,2025-03-04,Shipped
138,682,2025-04-13,,Cancelled
139,835,2024-07-05,2024-07-09,Processing
140,315,2025-07-25,2025-07-27,Shipped
141,182,2023-08-04,,Pending
142,972,2025-04-25,,Cancelled
143,401,2024-11-04,,Cancelled
144,34,2025-09-23,2025-09-28,Processing
145,326,2024-04-05,,Cancelled
146,227,2025-06-13,,Cancelled
147,107,2025-05-01,2025-05-03,Delivered
148,340,2024-04-29,,Pending
149,244,2025-04-23,2025-04-26,Shipped
150,172,2024-07-07,,Pending
151,842,2024-04-13,2024-04-17,Shipped
152,12,2025-10-25,2025-10-27,Shipped
153,256,2025-09-29,,Pending
154,359,2025-07-31,2025-08-07,Shipped
155,111,2023-11-03,,Pending
156,50,2025-10-30,2025-11-03,Delivered
157,751,2025-06-22,2025-06-24,Delivered
158,906,2022-11-28,2022-12-02,Delivered
159,903,2024-11-15,2024-11-18,Delivered
160,560,2025-10-08,2025-10-09,Delivered
161,849,2023-03-02,2023-03-09,Delivered
162,885,2024-01-19,,Cancelled
163,667,2025-05-09,2025-05-11,Processing
164,463,2024-03-30,,Pending
165,819,2025-05-09,,Pending
166,302,2023-10-02,,Pending
167,327,2025-07-17,2025-07-18,Shipped
168,76,2025-07-22,2025-07-24,Shipped
169,910,2024-02-13,2024-02-15,Delivered
170,750,2025-04-04,,Pending
171,561,2025-08-20,,Pending
172,347,2024-11-01,,Cancelled
173,629,2025-10-29,2025-11-04,Delivered
174,32,2024-04-03,2024-04-09,Delivered
175,169,2023-11-18,,Cancelled
176,912,2025-09-26,2025-09-28,Delivered
177,55,2024-12-06,,Pending
178,340,2025-01-24,2025-01-26,Processing
179,420,2025-07-20,,Cancelled
180,740,2025-04-02,,Cancelled
181,272,2025-10-14,2025-10-17,Shipped
182,244,2024-07-16,,Pending
183,51,2025-10-11,2025-10-16,Delivered
184,563,2025-09-06,2025-09-08,Delivered
185,56,2025-08-02,2025-08-03,Shipped
186,438,2025-05-21,,Pending
187,302,2024-09-19,,Cancelled
188,492,2025-06-15,2025-06-16,Processing
189,27,2025-06-03,2025-06-05,Processing
190,654,2024-11-10,2024-11-11,Shipped
191,485,2025-08-26,,Pending
192,316,2024-02-13,2024-02-17,Delivered
193,501,2025-10-15,2025-10-16,Shipped
194,658,2025-04-16,,Cancelled
195,397,2025-08-26,2025-08-29,Processing
196,907,2025-05-14,2025-05-17,Delivered
197,192,2025-06-29,2025-06-30,Delivered
198,270,2024-08-09,2024-08-13,Delivered
199,270,2024-01-28,2024-02-04,Processing
200,276,2024-07-23,,Cancelled
201,64,2025-01-08,2025-01-15,Processing
202,714,2024-09-04,,Pending
203,88,2022-10-25,2022-11-01,Shipped
204,555,2024-09-11,2024-09-18,Delivered
205,604,2022-08-23,2022-08-28,Processing
206,63,2024-07-26,2024-08-02,Delivered
207,536,2023-08-13,2023-08-18,Delivered
208,704,2023-11-18,2023-11-23,Delivered
209,903,2025-06-04,2025-06-08,Processing
210,307,2024-03-12,,Pending
211,405,2025-09-20,,Pending
212,515,2024-04-06,,Cancelled
