product_id,name,category,price,launch_date
1,"Boyer, Bradley and Valenzuela Mouse",Electronics,2579.3,2023-02-19
2,Dominguez PLC Bicycle,Sports & Outdoors,1459.9,2022-02-04
3,Gray-Myers Keyboard,Electronics,1767.32,2024-06-08
4,Stokes Inc Calculator,Office Supplies,940.63,2024-12-09
5,"Harris, Crawford and Cain Belt",Apparel,4873.4,2024-11-02
6,Jackson-Evans Belt,Apparel,2722.69,2023-11-09
7,Crawford Inc Sauce,Food & Beverages,106.57,2025-07-29
8,"Lewis, Baker and Evans Car Battery",Automotive,3180.18,2024-06-09
9,Ballard-Weber LEGO Set,Toys & Games,3737.85,2022-05-23
10,"Richard, Davis and Rogers Action Figure",Toys & Games,1727.29,2022-04-15
11,"Solis, Alvarez and Clark Wallet",Apparel,3677.26,2025-05-21
12,Pearson LLC Puzzle,Toys & Games,226.46,2024-02-23
13,Reynolds-Fernandez Energy Drink,Food & Beverages,4068.48,2022-11-07
14,Morales-Weber Candle,Home & Garden,4904.19,2023-12-06
15,"Hines, White and Smith Oil Filter",Automotive,4058.43,2024-12-28
16,"Huffman, Ray and Lewis Sunglasses",Apparel,189.73,2025-07-03
17,"Hurley, Adams and Little Tent",Sports & Outdoors,3956.59,2025-06-10
18,"Farrell, Meadows and Michael Smartwatch",Electronics,4667.19,2025-02-02
19,"Brown, Gonzalez and Ford Cereal",Food & Beverages,4945.67,2023-01-09
20,Francis LLC Pasta,Food & Beverages,1270.3,2025-08-04
21,Jenkins-Dalton Yoga Mat,Sports & Outdoors,1788.09,2022-04-11
22,"Harris, Gutierrez and Colon Mouse",Electronics,1662.96,2024-09-30
23,Scott PLC Boots,Apparel,2187.57,2023-01-02
24,Allen-Hernandez Toothbrush,Health & Beauty,4473.71,2022-02-13
25,Robles LLC Skincare Cream,Health & Beauty,4868.75,2023-12-23
26,Castro-Graham Jump Starter,Automotive,1839.9,2024-10-01
27,Harris LLC Protein Bar,Food & Beverages,4006.73,2022-07-31
28,Green LLC Lotion,Health & Beauty,2155.88,2024-10-20
29,"Thompson, Phelps and Stuart Picture Frame",Home & Garden,1472.36,2024-01-25
30,Brown Inc Jeans,Apparel,1642.96,2023-05-03
31,"Evans, Brown and Friedman Comic Book",Books,2232.35,2023-07-19
32,"Sandoval, Davis and Hahn Perfume",Health & Beauty,3450.38,2025-01-30
33,Young PLC Card Game,Toys & Games,216.56,2025-02-14
34,"Fitzpatrick, Boyd and Calderon Building Blocks",Toys & Games,4990.76,2025-04-19
35,"King, Wilkerson and Young Novel",Books,379.83,2022-07-09
36,Murphy-Silva Skincare Cream,Health & Beauty,2567.86,2023-08-29
37,"Manning, Walls and Robinson Lamp",Home & Garden,718.18,2022-06-15
38,Lewis LLC Desk Organizer,Office Supplies,178.82,2023-11-14
39,King-Lawrence Jacket,Apparel,3893.68,2024-02-01
40,"Brooks, Fry and Stewart RC Car",Toys & Games,1917.36,2023-10-21
41,Vega-Richmond Pen Set,Office Supplies,3027.45,2025-05-03
42,Cox Ltd Phone Mount,Automotive,1863.21,2023-07-26
43,Smith-Rasmussen Wallet,Apparel,692.79,2024-07-30
44,Skinner Ltd Video Game,Toys & Games,1575.36,2025-05-26
45,Vazquez Ltd Textbook,Books,4802.8,2023-01-08
46,Tran-Parker Tablet,Electronics,2497.72,2024-12-24
47,Leach-Jennings Deodorant,Health & Beauty,593.22,2024-04-10
48,Mathews Group Dictionary,Books,1076.78,2022-01-13
49,Pennington-Hardin Folder,Office Supplies,3471.43,2023-04-13
50,Mayer and Sons Brake Pad,Automotive,617.57,2023-04-08
51,Villarreal and Sons Sunglasses,Apparel,867.42,2023-11-13
52,"Stewart, Burnett and Newman Tire",Automotive,4053.51,2025-05-11
53,Hill Inc RC Car,Toys & Games,3549.15,2025-07-02
54,Ruiz-Gutierrez Sauce,Food & Beverages,1455.36,2025-07-30
55,Love-Mcdowell Cookbook,Books,3560.49,2025-06-28
56,Holloway Ltd Vase,Home & Garden,2546.23,2023-02-10
57,"Jones, Fisher and Daniel Jacket",Apparel,3961.37,2024-04-30
58,"Murphy, Neal and Gill Tennis Racket",Sports & Outdoors,136.29,2024-09-23
59,"White, Ramos and Davidson Spice Set",Food & Beverages,1847.71,2022-01-05
60,Gonzalez-Torres Chocolate,Food & Beverages,3061.68,2024-06-13
61,Rodriguez and Sons Jeans,Apparel,1549.91,2024-03-13
62,"Booker, Rivas and Hines Air Freshener",Automotive,2056.92,2025-08-08
63,"Jennings, Sparks and Flores Face Mask",Health & Beauty,373.38,2024-01-14
64,"Anderson, Thompson and Watkins Action Figure",Toys & Games,2252.62,2023-05-24
65,Gonzalez-Perry Energy Drink,Food & Beverages,646.03,2022-10-10
66,Walter-Duffy Spice Set,Food & Beverages,913.91,2024-06-05
67,Smith Inc Plant Pot,Home & Garden,2516.8,2024-05-17
68,"Salazar, Perez and Davis Laptop",Electronics,2592.92,2023-12-20
69,Green and Sons Cookbook,Books,814.02,2022-03-19
70,Williamson-Burke Running Shoes,Sports & Outdoors,4737.68,2022-08-20
71,Rubio and Sons Protein Bar,Food & Beverages,4230.44,2024-05-31
72,Smith PLC Textbook,Books,3177.11,2023-11-07
73,Wilcox-Snyder Protein Bar,Food & Beverages,630.23,2022-12-15
74,"Harris, Shah and Li Manual",Books,2669.72,2023-02-18
75,Francis-Reyes Chocolate,Food & Beverages,2961.08,2023-11-02
76,Greene LLC Stapler,Office Supplies,860.15,2025-02-02
77,"Lopez, White and Sparks Whiteboard",Office Supplies,1691.41,2022-02-14
78,Cherry-Young Pen Set,Office Supplies,4127.06,2023-12-02
79,Wood Ltd Laptop,Electronics,232.08,2024-10-02
80,Miller-Harrison Folder,Office Supplies,3257.39,2023-05-18
81,"Sanders, Lewis and Reyes Calculator",Office Supplies,3092.45,2023-10-20
82,"Harper, Jones and Hawkins TV",Electronics,4445.54,2022-03-22
83,Galvan-Ruiz Protein Bar,Food & Beverages,3211.33,2023-07-05
84,"Crosby, Coffey and George Dictionary",Books,1228.17,2025-03-08
85,Smith PLC Vitamins,Health & Beauty,2270.45,2024-08-20
86,Turner-Foster Tablet,Electronics,2200.83,2023-07-31
87,Donaldson PLC Jump Starter,Automotive,1024.09,2022-03-05
88,"White, Jackson and Vasquez Stapler",Office Supplies,1566.35,2023-06-11
89,Anderson-Stewart RC Car,Toys & Games,4876.99,2024-04-03
90,Thomas-Wilson Vase,Home & Garden,2577.33,2022-03-10
91,Porter LLC Boots,Apparel,1212.48,2025-03-07
92,Howe-Campbell Sneakers,Apparel,2250.73,2023-02-13
93,"Gallegos, Mcintosh and Black Chair",Home & Garden,257.77,2023-11-08
94,Stewart Group Face Mask,Health & Beauty,2093.58,2025-04-01
95,Peters Ltd Vase,Home & Garden,4669.09,2024-09-16
96,Brown-Hernandez Doll,Toys & Games,3816.79,2022-12-24
97,Johnson LLC Air Freshener,Automotive,2336.74,2022-09-12
98,"Mcdonald, Wilson and Woodard Dictionary",Books,120.77,2024-02-08
99,Alexander Ltd Deodorant,Health & Beauty,2288.87,2024-05-21
100,Ellis-Rodriguez Dumbbells,Sports & Outdoors,2918.8,2025-01-23
101,Martinez Inc Smartphone,Electronics,1410.37,2022-11-13
102,White-Jackson Desk Organizer,Office Supplies,1432.31,2024-03-01
103,Elliott-Alvarado Laptop,Electronics,2157.48,2022-11-26
104,"Bolton, Smith and Wang Guide",Books,3820.46,2022-10-08
