shipment_id,order_id,shipment_date,carrier,tracking_number,shipment_cost
1,293,2025-09-21,UPS,UP5925717841,14.74
2,1034,2024-01-02,OnTrac,ON8281800690,16.99
3,373,2025-08-10,UPS,UP5101521037,29.02
4,1262,2025-08-02,Amazon Logistics,AM3652998107,38.3
5,1023,2025-01-31,FedEx,FE3746502910,37.6
6,1799,2025-10-12,UPS,UP6928198448,14.93
7,1414,2025-10-13,USPS,US4457439848,44.93
8,1818,2025-06-24,USPS,US9363309372,48.83
9,467,2025-08-15,USPS,US3863499558,21.41
10,585,2025-01-02,FedEx,FE6349478736,47.72
11,89,2025-10-05,OnTrac,ON2034595927,8.54
12,935,2025-09-12,OnTrac,ON7567013597,23.26
13,951,2023-11-24,OnTrac,ON6442050769,43.86
14,1959,2023-10-01,OnTrac,ON8194669427,27.47
15,1165,2025-07-27,DHL,DH8025397565,47.61
16,924,2025-04-03,FedEx,FE7170090486,30.39
17,690,2025-07-21,DHL,DH4465580264,24.39
18,713,2025-10-30,FedEx,FE1339640247,20.45
19,940,2024-04-02,UPS,UP4900941556,30.77
20,1550,2025-09-27,USPS,US3182039106,41.66
21,464,2024-08-19,DHL,DH3559562347,19.54
22,945,2025-06-18,Amazon Logistics,AM6932581841,18.59
23,1142,2025-10-10,FedEx,FE4962699885,5.61
24,705,2024-11-24,FedEx,FE6324029963,39.96
25,1477,2025-08-25,UPS,UP2141151737,22.32
26,726,2025-02-09,UPS,UP9390892676,34.28
27,1469,2025-10-02,FedEx,FE4853705045,47.34
28,287,2024-12-25,USPS,US8631089815,44.88
29,537,2025-09-23,OnTrac,ON4477176497,25.38
30,1043,2023-09-03,FedEx,FE2966655877,9.69
31,1696,2025-02-15,UPS,UP9718730673,34.05
32,1845,2025-03-03,UPS,UP1717311953,46.94
33,198,2024-10-25,USPS,US2918279036,46.23
34,1411,2024-03-30,USPS,US2367241184,14.41
35,1651,2025-09-01,USPS,US6051818675,45.01
36,1291,2024-08-06,DHL,DH6410634827,42.99
37,1630,2024-05-21,OnTrac,ON3139131324,10.06
38,485,2025-03-31,OnTrac,ON5144099828,44.14
39,1686,2025-09-10,UPS,UP1633885220,45.72
40,1183,2025-01-16,DHL,DH7141694549,35.69
41,1020,2025-10-29,FedEx,FE6132396577,5.15
42,710,2025-06-01,UPS,UP8302586695,41.69
43,1123,2025-05-17,Amazon Logistics,AM1270075327,46.74
44,938,2025-08-29,USPS,US1195980587,6.14
45,374,2025-10-15,DHL,DH1549857034,18.91
46,829,2025-04-25,DHL,DH5060303335,10.4
47,69,2025-08-12,Amazon Logistics,AM2293317379,48.54
48,1734,2025-06-14,UPS,UP3981256048,27.25
49,417,2025-10-09,UPS,UP1852377009,13.92
50,1558,2025-10-06,USPS,US8625995551,12.92
51,1822,2025-05-11,UPS,UP8971223923,40.28
52,894,2025-08-08,FedEx,FE8383635018,48.49
53,908,2025-09-06,OnTrac,ON3932970953,45.93
54,365,2025-08-05,FedEx,FE8793998005,15.21
55,1542,2025-08-25,FedEx,FE1748640005,17.93
56,1213,2025-06-04,OnTrac,ON4571680419,40.18
57,566,2025-02-11,FedEx,FE6268366551,24.21
58,1296,2025-04-10,USPS,US5174677615,26.13
59,231,2024-05-03,UPS,UP2971882657,28.02
60,980,2024-03-08,Amazon Logistics,AM5121488855,39.4
61,402,2025-09-21,FedEx,FE2636953700,9.44
62,1258,2025-09-15,UPS,UP5964857307,9.49
63,1615,2025-10-29,Amazon Logistics,AM8984473676,34.98
64,1579,2025-02-13,DHL,DH8567924811,29.04
65,661,2024-06-07,DHL,DH3055040376,19.59
66,1906,2025-04-28,USPS,US1562744369,14.44
67,543,2025-10-30,OnTrac,ON5219683481,11.37
68,407,2025-10-09,OnTrac,ON3183382165,33.56
69,1907,2025-10-18,Amazon Logistics,AM6549256329,49.87
70,896,2025-07-29,Amazon Logistics,AM3431267294,37.28
71,1664,2023-09-01,OnTrac,ON1790842759,38.04
72,911,2025-04-26,DHL,DH5540467232,13.24
73,1545,2023-03-26,USPS,US6201478282,34.52
74,980,2024-03-13,FedEx,FE8396190572,43.9
75,615,2025-10-05,UPS,UP5533002422,22.86
76,1991,2025-10-18,DHL,DH2184464834,42.25
77,22,2023-08-01,DHL,DH8168310659,15.31
78,1413,2024-07-05,USPS,US4316445813,34.39
79,840,2025-06-07,FedEx,FE3834641231,14.89
80,974,2025-09-15,FedEx,FE9836173316,40.3
81,1660,2025-05-04,DHL,DH6864241036,7.85
82,1845,2024-09-29,USPS,US8691230554,7.03
83,825,2024-05-13,USPS,US3442449010,40.97
84,1570,2025-10-27,OnTrac,ON5583987616,8.89
85,1818,2025-06-11,USPS,US1309327341,30.48
86,1682,2025-07-19,USPS,US6712084529,17.22
87,1438,2025-05-17,OnTrac,ON9982168099,37.44
88,1486,2025-07-18,FedEx,FE7833012135,25.29
89,1270,2024-01-17,USPS,US4456819677,7.71
90,6,2024-06-27,FedEx,FE5372964595,12.59
91,402,2025-08-18,OnTrac,ON1064033376,33.02
92,1631,2025-06-01,DHL,DH1412720524,37.8
93,225,2025-03-13,FedEx,FE2320620839,47.34
94,1443,2025-10-26,FedEx,FE7028131205,28.94
95,1618,2025-08-22,DHL,DH2743685618,30.49
96,1335,2025-04-03,DHL,DH1926078462,12.42
97,1257,2025-04-01,DHL,DH1993529899,40.91
98,1946,2024-12-19,FedEx,FE5861265639,34.34
99,1684,2024-12-04,UPS,UP7964879797,34.19
100,1059,2025-06-06,USPS,US8271245852,14.14
101,1511,2025-10-16,UPS,UP6936637977,18.89
102,79,2025-08-07,Amazon Logistics,AM8030578839,13.18
103,305,2025-09-16,FedEx,FE1196197080,10.45
104,174,2025-09-04,USPS,US4617070731,39.86
